"시점",전국
"2019-01",98.884
"2019-02",99.311
"2019-03",99.121
"2019-04",99.481
"2019-05",99.652
"2019-06",99.491
"2019-07",99.187
"2019-08",99.425
"2019-09",99.794
"2019-10",100.041
"2019-11",99.481
"2019-12",99.719
"2020-01",100.09
"2020-02",100.16
"2020-03",99.94
"2020-04",99.50
"2020-05",99.44
"2020-06",99.71
"2020-07",99.63
"2020-08",100.19
"2020-09",100.74
"2020-10",100.18
"2020-11",100.09
"2020-12",100.33
"2021-01",101.04
"2021-02",101.58
"2021-03",101.84
"2021-04",101.98
"2021-05",102.05
"2021-06",102.05
"2021-07",102.26
"2021-08",102.75
"2021-09",103.17
"2021-10",103.35
"2021-11",103.87
"2021-12",104.04
"2022-01",104.85
"2022-02",105.42
"2022-03",106.10
"2022-04",106.83
"2022-05",107.50
"2022-06",108.21
"2022-07",108.73
"2022-08",108.63
"2022-09",108.82
"2022-10",109.16
"2022-11",109.07
"2022-12",109.26
"2023-01",110.07
"2023-02",110.33
"2023-03",110.52
"2023-04",110.77
"2023-05",111.13
"2023-06",111.16
"2023-07",111.29
"2023-08",112.28
"2023-09",112.85
"2023-10",113.27
"2023-11",112.68
"2023-12",112.73
"2024-01",113.17
"2024-02",113.78
"2024-03",113.95
"2024-04",114.01
"2024-05",114.10
"2024-06",113.84
"2024-07",114.13
"2024-08",114.54
"2024-09",114.65
"2024-10",114.69
"2024-11",114.40
"2024-12",114.91
"2025-01",115.71
"2025-02",116.08
"2025-03",116.29
"2025-04",116.38
"2025-05",116.27
"2025-06",116.31
"2025-07",116.52
"2025-08",116.45
"2025-09",117.06
"2025-10",117.42
"2025-11",117.20
"2025-12",117.57