변환,원자료
"2019-01","1,122.00"
"2019-02","1,122.45"
"2019-03","1,130.72"
"2019-04","1,140.95"
"2019-05","1,183.29"
"2019-06","1,175.62"
"2019-07","1,175.31"
"2019-08","1,208.98"
"2019-09","1,197.55"
"2019-10","1,184.13"
"2019-11","1,167.45"
"2019-12","1,175.84"
"2020-01","1,164.28"
"2020-02","1,193.79"
"2020-03","1,220.09"
"2020-04","1,225.23"
"2020-05","1,228.67"
"2020-06","1,210.01"
"2020-07","1,198.90"
"2020-08","1,186.85"
"2020-09","1,178.80"
"2020-10","1,144.68"
"2020-11","1,116.76"
"2020-12","1,095.13"
"2021-01","1,097.49"
"2021-02","1,111.72"
"2021-03","1,131.02"
"2021-04","1,119.40"
"2021-05","1,123.28"
"2021-06","1,121.30"
"2021-07","1,143.98"
"2021-08","1,160.34"
"2021-09","1,169.54"
"2021-10","1,182.82"
"2021-11","1,182.91"
"2021-12","1,183.70"
"2022-01","1,194.01"
"2022-02","1,198.34"
"2022-03","1,221.03"
"2022-04","1,232.34"
"2022-05","1,269.88"
"2022-06","1,277.35"
"2022-07","1,307.40"
"2022-08","1,318.44"
"2022-09","1,391.59"
"2022-10","1,426.66"
"2022-11","1,364.10"
"2022-12","1,296.22"
"2023-01","1,247.25"
"2023-02","1,270.74"
"2023-03","1,305.73"
"2023-04","1,320.01"
"2023-05","1,328.21"
"2023-06","1,296.71"
"2023-07","1,286.30"
"2023-08","1,318.47"
"2023-09","1,329.47"
"2023-10","1,350.69"
"2023-11","1,310.39"
"2023-12","1,303.98"
"2024-01","1,323.57"
"2024-02","1,331.74"
"2024-03","1,330.69"
"2024-04","1,367.83"
"2024-05","1,365.39"
"2024-06","1,380.13"
"2024-07","1,383.38"
"2024-08","1,354.15"
"2024-09","1,334.82"
"2024-10","1,361.00"
"2024-11","1,393.38"
"2024-12","1,434.42"
"2025-01","1,455.79"
"2025-02","1,445.56"
"2025-03","1,456.95"
"2025-04","1,444.31"
"2025-05","1,394.49"
"2025-06","1,366.95"
"2025-07","1,375.22"
"2025-08","1,389.66"
"2025-09","1,391.83"
"2025-10","1,423.36"
"2025-11","1,457.77"
"2025-12","1,467.40"